To,From,Reason for Dishing,Date,Room
"griff (💜, 💜)#8888",iviangita#3204,for joining the Legal WG sync last Friday,Jan-10-2022,🙏｜praise
Ratio13#0578,iviangita#3204,for joining the Legal WG sync last Friday,Jan-10-2022,🙏｜praise
PabloA#7958,iviangita#3204,for joining the Legal WG sync last Friday,Jan-10-2022,🙏｜praise
Juankbell#7458,iviangita#3204,for joining the Legal WG sync last Friday,Jan-10-2022,🙏｜praise
chuygarcia.eth#6692,iviangita#3204,for joining the Legal WG sync last Friday,Jan-10-2022,🙏｜praise
DecentralizeSDGs#7544,iviangita#3204,for joining the Legal WG sync last Friday,Jan-10-2022,🙏｜praise
iviangita#3204,iviangita#3204,for joining the Legal WG sync last Friday,Jan-10-2022,🙏｜praise
Zeptimus#3359,Mount Manu#3530,for his excitement regarding anything and everything happening within our community,Jan-10-2022,🙏｜praise
durgadas#9280,Mount Manu#3530,for acting more and more as a Graviton and introducing NVC to other groups,Jan-10-2022,🙏｜praise
Tam2140#9361,Mount Manu#3530,for the coordination that she does for all Stewards,Jan-10-2022,🙏｜praise
MorganicMovement 🍄#1085,Mount Manu#3530,"for increasingly contributing to Gravity, even as relative newcomers",Jan-10-2022,🙏｜praise
Leen#8610,Mount Manu#3530,"for increasingly contributing to Gravity, even as relative newcomers",Jan-10-2022,🙏｜praise
sem  🐝#0161,Mount Manu#3530,for coming to Latin America to meet with TEC members,Jan-10-2022,🙏｜praise
liviade#1387,Mount Manu#3530,because it’s admirable the courage with which you engage in the work that you do,Jan-10-2022,🙏｜praise
Zeptimus#3359,Mount Manu#3530,"for getting us to this point, almost done with the CU",Jan-10-2022,🙏｜praise
divine_comedian#5493,Mount Manu#3530,"for getting us to this point, almost done with the CU",Jan-10-2022,🙏｜praise
natesuits#4789,Mount Manu#3530,"for getting us to this point, almost done with the CU",Jan-10-2022,🙏｜praise
"griff (💜, 💜)#8888",Mount Manu#3530,"for getting us to this point, almost done with the CU",Jan-10-2022,🙏｜praise
solsista#5370,Mount Manu#3530,"for getting us to this point, almost done with the CU",Jan-10-2022,🙏｜praise
ygg_anderson#4998,Mount Manu#3530,"for getting us to this point, almost done with the CU",Jan-10-2022,🙏｜praise
eduardovegap#0422,Mount Manu#3530,"for getting us to this point, almost done with the CU",Jan-10-2022,🙏｜praise
liviade#1387,Mount Manu#3530,"for getting us to this point, almost done with the CU",Jan-10-2022,🙏｜praise
Vyvy-vi#5040,Mount Manu#3530,"for getting us to this point, almost done with the CU",Jan-10-2022,🙏｜praise
Juankbell#7458,Mount Manu#3530,"for getting us to this point, almost done with the CU",Jan-10-2022,🙏｜praise
chuygarcia.eth#6692,Mount Manu#3530,"for getting us to this point, almost done with the CU",Jan-10-2022,🙏｜praise
karmaticacid#1218,Mount Manu#3530,"for getting us to this point, almost done with the CU",Jan-10-2022,🙏｜praise
iviangita#3204,Mount Manu#3530,"for getting us to this point, almost done with the CU",Jan-10-2022,🙏｜praise
Tam2140#9361,Mount Manu#3530,"for getting us to this point, almost done with the CU",Jan-10-2022,🙏｜praise
chuygarcia.eth#6692,Mount Manu#3530,for partnering up with acidlazzer to complete some issues together,Jan-10-2022,🙏｜praise
Juankbell#7458,Mount Manu#3530,for partnering up with acidlazzer to complete some issues together,Jan-10-2022,🙏｜praise
chuygarcia.eth#6692,Mount Manu#3530,"for all the work that you do around Comms, soon to be T.E.A.M. (and also for introducing us to the Dework platform)",Jan-10-2022,🙏｜praise
alantv#0964,Mount Manu#3530,for their daily commitment with the animation team that they’re part of,Jan-10-2022,🙏｜praise
johnjonas#2307,Mount Manu#3530,for their daily commitment with the animation team that they’re part of,Jan-10-2022,🙏｜praise
eduardovegap#0422,Mount Manu#3530,for representing the TEC in the 1Hive stream this past Monday,Jan-10-2022,🙏｜praise
MarioRozo#3294,Mount Manu#3530,for attending the Animation & Video Production T.E.A.M. sync,Jan-10-2022,🙏｜praise
pab🐝🐙#6151,Mount Manu#3530,for attending the Animation & Video Production T.E.A.M. sync,Jan-10-2022,🙏｜praise
Mount Manu#3530,Mount Manu#3530,for attending the Animation & Video Production T.E.A.M. sync,Jan-10-2022,🙏｜praise
alantv#0964,Mount Manu#3530,for attending the Animation & Video Production T.E.A.M. sync,Jan-10-2022,🙏｜praise
chuygarcia.eth#6692,Mount Manu#3530,for attending the Animation & Video Production T.E.A.M. sync,Jan-10-2022,🙏｜praise
acidlazzer#5796,Mount Manu#3530,for attending the Animation & Video Production T.E.A.M. sync,Jan-10-2022,🙏｜praise
MarioRozo#3294,chuygarcia.eth#6692,"for their efforts to keep understanding what the rewards system is, how it is important to our community and how to support it through the animation TEAM",Jan-10-2022,🙏｜praise
alantv#0964,chuygarcia.eth#6692,"for their efforts to keep understanding what the rewards system is, how it is important to our community and how to support it through the animation TEAM",Jan-10-2022,🙏｜praise
acidlazzer#5796,chuygarcia.eth#6692,"for their efforts to keep understanding what the rewards system is, how it is important to our community and how to support it through the animation TEAM",Jan-10-2022,🙏｜praise
Zeptimus#3359,iviangita#3204,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,Jan-10-2022,🙏｜praise
GideonRo#3175,iviangita#3204,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,Jan-10-2022,🙏｜praise
"griff (💜, 💜)#8888",iviangita#3204,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,Jan-10-2022,🙏｜praise
ygg_anderson#4998,iviangita#3204,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,Jan-10-2022,🙏｜praise
metaverde#2503,iviangita#3204,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,Jan-10-2022,🙏｜praise
liviade#1387,iviangita#3204,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,Jan-10-2022,🙏｜praise
Juankbell#7458,iviangita#3204,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,Jan-10-2022,🙏｜praise
iviangita#3204,iviangita#3204,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,Jan-10-2022,🙏｜praise
akrtws (TE Academy)#4246,iviangita#3204,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,Jan-10-2022,🙏｜praise
Tam2140#9361,iviangita#3204,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,Jan-10-2022,🙏｜praise
Zeptimus#3359,Mount Manu#3530,for the Transparency funding proposal that they crafted together,Jan-10-2022,🙏｜praise
iviangita#3204,Mount Manu#3530,for the Transparency funding proposal that they crafted together,Jan-10-2022,🙏｜praise
Mount Manu#3530,iviangita#3204,for taking on the Community Call praise transcription and doing it so well 🙌,Jan-10-2022,🙏｜praise
freshelle#9882,Mount Manu#3530,for all your contributions and all the work you do behind the scenes,Jan-10-2022,🙏｜praise
"griff (💜, 💜)#8888",Mount Manu#3530,for getting engaged!,Jan-10-2022,🙏｜praise
karmaticacid#1218,Mount Manu#3530,for getting engaged!,Jan-10-2022,🙏｜praise
sem  🐝#0161,Mount Manu#3530,for taking the trip down to Costa Rica,Jan-10-2022,🙏｜praise
divine_comedian#5493,Mount Manu#3530,because Edu met with them this past Saturday,Jan-10-2022,🙏｜praise
"griff (💜, 💜)#8888",Mount Manu#3530,because Edu met with them this past Saturday,Jan-10-2022,🙏｜praise
karmaticacid#1218,Mount Manu#3530,because Edu met with them this past Saturday,Jan-10-2022,🙏｜praise
Tam2140#9361,Mount Manu#3530,because Edu met with them this past Saturday,Jan-10-2022,🙏｜praise
alantv#0964,Mount Manu#3530,for joining all (or most) of our orientation calls,Jan-10-2022,🙏｜praise
r33pich33p#6906,Mount Manu#3530,for all the orientation guide work that he has been doing,Jan-10-2022,🙏｜praise
AmwFund#0979,Mount Manu#3530,for jumping in and helping Edu with Hatcher Outreach,Jan-10-2022,🙏｜praise
eduardovegap#0422,Mount Manu#3530,"for the onboarding weekly calls that you do, which are always amazing",Jan-10-2022,🙏｜praise
chuygarcia.eth#6692,Mount Manu#3530,for the incredible progress you’ve had turning the T.E.A.M. DAO into a reality,Jan-10-2022,🙏｜praise
Zeptimus#3359,Mount Manu#3530,for putting Nate into the fold with regards to Transparency,Jan-10-2022,🙏｜praise
Mert Ozd#6679,Mount Manu#3530,"for all the work you’ve been doing over at 0mega, specially with regards to the Consilience library",Jan-10-2022,🙏｜praise
divine_comedian#5493,Mount Manu#3530,for the backend work you’ve been doing around the CU,Jan-10-2022,🙏｜praise
"griff (💜, 💜)#8888",Mount Manu#3530,for the backend work you’ve been doing around the CU,Jan-10-2022,🙏｜praise
karmaticacid#1218,Mount Manu#3530,for the backend work you’ve been doing around the CU,Jan-10-2022,🙏｜praise
sem  🐝#0161,Mount Manu#3530,for the backend work you’ve been doing around the CU,Jan-10-2022,🙏｜praise
Juankbell#7458,Mount Manu#3530,for the work you do in Gravity,Jan-10-2022,🙏｜praise
eduardovegap#0422,karmaticacid#1218,for taking beautiful photos of Griff and I this weekend for our engagaement ❤️,Jan-10-2022,🙏｜praise
liviade#1387,Mount Manu#3530,"for everything that you do in this community, specially with regards to Soft Gov and Rewards System",Jan-10-2022,🙏｜praise
Zeptimus#3359,Mount Manu#3530,"for his diligent work in Transparency and, according to Ivi, for being the best co-host anyone could ask for (this is probably objectively true though… at the very least you’re top 3 globally)",Jan-10-2022,🙏｜praise
Tam2140#9361,Mount Manu#3530,for being Ivi’s guiding light ever since she joined the Commons Stack and the TEC,Jan-10-2022,🙏｜praise
Zeptimus#3359,Mount Manu#3530,"for having lead our community successfully almost up to the CU, which is so close now",Jan-10-2022,🙏｜praise
divine_comedian#5493,Mount Manu#3530,"for having lead our community successfully almost up to the CU, which is so close now",Jan-10-2022,🙏｜praise
natesuits#4789,Mount Manu#3530,"for having lead our community successfully almost up to the CU, which is so close now",Jan-10-2022,🙏｜praise
"griff (💜, 💜)#8888",Mount Manu#3530,"for having lead our community successfully almost up to the CU, which is so close now",Jan-10-2022,🙏｜praise
solsista#5370,Mount Manu#3530,"for having lead our community successfully almost up to the CU, which is so close now",Jan-10-2022,🙏｜praise
ygg_anderson#4998,Mount Manu#3530,"for having lead our community successfully almost up to the CU, which is so close now",Jan-10-2022,🙏｜praise
eduardovegap#0422,Mount Manu#3530,"for having lead our community successfully almost up to the CU, which is so close now",Jan-10-2022,🙏｜praise
liviade#1387,Mount Manu#3530,"for having lead our community successfully almost up to the CU, which is so close now",Jan-10-2022,🙏｜praise
Vyvy-vi#5040,Mount Manu#3530,"for having lead our community successfully almost up to the CU, which is so close now",Jan-10-2022,🙏｜praise
Juankbell#7458,Mount Manu#3530,"for having lead our community successfully almost up to the CU, which is so close now",Jan-10-2022,🙏｜praise
chuygarcia.eth#6692,Mount Manu#3530,"for having lead our community successfully almost up to the CU, which is so close now",Jan-10-2022,🙏｜praise
karmaticacid#1218,Mount Manu#3530,"for having lead our community successfully almost up to the CU, which is so close now",Jan-10-2022,🙏｜praise
iviangita#3204,Mount Manu#3530,"for having lead our community successfully almost up to the CU, which is so close now",Jan-10-2022,🙏｜praise
Tam2140#9361,Mount Manu#3530,"for having lead our community successfully almost up to the CU, which is so close now",Jan-10-2022,🙏｜praise
Zeptimus#3359,Mount Manu#3530,for attending our January 6th Community Call!,Jan-10-2022,🙏｜praise
pab🐝🐙#6151,Mount Manu#3530,for attending our January 6th Community Call!,Jan-10-2022,🙏｜praise
natesuits#4789,Mount Manu#3530,for attending our January 6th Community Call!,Jan-10-2022,🙏｜praise
GideonRo#3175,Mount Manu#3530,for attending our January 6th Community Call!,Jan-10-2022,🙏｜praise
"griff (💜, 💜)#8888",Mount Manu#3530,for attending our January 6th Community Call!,Jan-10-2022,🙏｜praise
solsista#5370,Mount Manu#3530,for attending our January 6th Community Call!,Jan-10-2022,🙏｜praise
ygg_anderson#4998,Mount Manu#3530,for attending our January 6th Community Call!,Jan-10-2022,🙏｜praise
alantv#0964,Mount Manu#3530,for attending our January 6th Community Call!,Jan-10-2022,🙏｜praise
liviade#1387,Mount Manu#3530,for attending our January 6th Community Call!,Jan-10-2022,🙏｜praise
Annn3#3538,Mount Manu#3530,for attending our January 6th Community Call!,Jan-10-2022,🙏｜praise
karmaticacid#1218,Mount Manu#3530,for attending our January 6th Community Call!,Jan-10-2022,🙏｜praise
acidlazzer#5796,Mount Manu#3530,for attending our January 6th Community Call!,Jan-10-2022,🙏｜praise
David (please DYOR...)#4116,Mount Manu#3530,for attending our January 6th Community Call!,Jan-10-2022,🙏｜praise
iviangita#3204,Mount Manu#3530,for attending our January 6th Community Call!,Jan-10-2022,🙏｜praise
Tam2140#9361,Mount Manu#3530,for attending our January 6th Community Call!,Jan-10-2022,🙏｜praise
UniPuff🐙#9571,Mount Manu#3530,for attending our January 6th Community Call!,Jan-10-2022,🙏｜praise
Yineisy Mota#1449,Mount Manu#3530,for attending our January 6th Community Call!,Jan-10-2022,🙏｜praise
0xSherry#1306,Mount Manu#3530,for attending our January 6th Community Call!,Jan-10-2022,🙏｜praise
Juankbell#7458,Mount Manu#3530,for attending our January 6th Community Call!,Jan-10-2022,🙏｜praise
Lord TΞngΞki#0804,Mount Manu#3530,for attending our January 6th Community Call!,Jan-10-2022,🙏｜praise
mafer_cordovas#1034,Mount Manu#3530,for attending our January 6th Community Call!,Jan-10-2022,🙏｜praise
ciciry#4592,Mount Manu#3530,for attending our January 6th Community Call!,Jan-10-2022,🙏｜praise
chuygarcia.eth#6692,Mount Manu#3530,for attending our January 6th Community Call!,Jan-10-2022,🙏｜praise
delightfulabyss.eth#3679,Mount Manu#3530,for attending our January 6th Community Call!,Jan-10-2022,🙏｜praise
acidlazzer#5796,Mount Manu#3530,"for taking on the beautification of all things TEC, specially the voter’s pamphlet: thank you so much!",Jan-10-2022,🙏｜praise
chuygarcia.eth#6692,Mount Manu#3530,for meeting in person in Mexico City,Jan-10-2022,🙏｜praise
anna-marie#8824,Mount Manu#3530,for meeting in person in Mexico City,Jan-10-2022,🙏｜praise
chuygarcia.eth#6692,lEscanore#7764,",      for showing up for the translation T.E.A.M meeting!",Jan-10-2022,🙏｜praise
NikosamA98#5909,lEscanore#7764,",      for showing up for the translation T.E.A.M meeting!",Jan-10-2022,🙏｜praise
EdgarWeb3#5783,lEscanore#7764,",      for showing up for the translation T.E.A.M meeting!",Jan-10-2022,🙏｜praise
Usua◎ Silver#2618,lEscanore#7764,",      for showing up for the translation T.E.A.M meeting!",Jan-10-2022,🙏｜praise
Juankbell#7458,liviade#1387,"for making the governance distribution graphs he made for the debates, super helpful to visualize!",Jan-10-2022,🙏｜praise
sem  🐝#0161,liviade#1387,for adding the covenant to IPFS,Jan-10-2022,🙏｜praise
divine_comedian#5493,sem  🐝#0161,for proof-reading the new article on commons swarm outcomes: EVMcrispr!! https://forum.1hive.org/t/commons-swarm-outcomes-3-3-a-tool-to-mutate-a-daos-dna/4924,Jan-10-2022,🙏｜praise
starnight#0711,Kingdom#7487,@​869837571503587329> for making the whole community more vibrant!,Jan-11-2022,🙏｜praise
Zeptimus#3359,akrtws (TE Academy)#4246,for walking us through the Commons Upgrade Proposals in the Fireside Chat,Jan-11-2022,🙏｜praise
natesuits#4789,akrtws (TE Academy)#4246,"to  ,   and ALL AUTHORS of the Commons Upgrade  Voter Pamphlet - one of the best, thoroughly designed summaries I've ever seen for a token launch 🙌 👏  all resources right where you need it, thank you!",Jan-11-2022,🙏｜praise
Juankbell#7458,akrtws (TE Academy)#4246,"to  ,   and ALL AUTHORS of the Commons Upgrade  Voter Pamphlet - one of the best, thoroughly designed summaries I've ever seen for a token launch 🙌 👏  all resources right where you need it, thank you!",Jan-11-2022,🙏｜praise
Zeptimus#3359,chuygarcia.eth#6692,for attending today's Comms sync call <:TEC:835016327542210560>,Jan-11-2022,🙏｜praise
MarioRozo#3294,chuygarcia.eth#6692,for attending today's Comms sync call <:TEC:835016327542210560>,Jan-11-2022,🙏｜praise
natesuits#4789,chuygarcia.eth#6692,for attending today's Comms sync call <:TEC:835016327542210560>,Jan-11-2022,🙏｜praise
ZER8🧠#9093,chuygarcia.eth#6692,for attending today's Comms sync call <:TEC:835016327542210560>,Jan-11-2022,🙏｜praise
johnjonas#2307,chuygarcia.eth#6692,for attending today's Comms sync call <:TEC:835016327542210560>,Jan-11-2022,🙏｜praise
Mount Manu#3530,chuygarcia.eth#6692,for attending today's Comms sync call <:TEC:835016327542210560>,Jan-11-2022,🙏｜praise
bustavo#8085,chuygarcia.eth#6692,for attending today's Comms sync call <:TEC:835016327542210560>,Jan-11-2022,🙏｜praise
Juankbell#7458,chuygarcia.eth#6692,for attending today's Comms sync call <:TEC:835016327542210560>,Jan-11-2022,🙏｜praise
Doggfather#9126,chuygarcia.eth#6692,for attending today's Comms sync call <:TEC:835016327542210560>,Jan-11-2022,🙏｜praise
acidlazzer#5796,chuygarcia.eth#6692,for attending today's Comms sync call <:TEC:835016327542210560>,Jan-11-2022,🙏｜praise
QUANTUM369#7131,chuygarcia.eth#6692,for attending today's Comms sync call <:TEC:835016327542210560>,Jan-11-2022,🙏｜praise
AnnAnna#4694,chuygarcia.eth#6692,for attending today's Comms sync call <:TEC:835016327542210560>,Jan-11-2022,🙏｜praise
Tam2140#9361,chuygarcia.eth#6692,for attending today's Comms sync call <:TEC:835016327542210560>,Jan-11-2022,🙏｜praise
Zeptimus#3359,liviade#1387,for joining soft gov params special today!,Jan-11-2022,🙏｜praise
r33pich33p#6906,liviade#1387,for joining soft gov params special today!,Jan-11-2022,🙏｜praise
Funny Random Username#3420,liviade#1387,for joining soft gov params special today!,Jan-11-2022,🙏｜praise
natesuits#4789,liviade#1387,for joining soft gov params special today!,Jan-11-2022,🙏｜praise
metaverde#2503,liviade#1387,for joining soft gov params special today!,Jan-11-2022,🙏｜praise
AmwFund#0979,liviade#1387,for joining soft gov params special today!,Jan-11-2022,🙏｜praise
Mount Manu#3530,liviade#1387,for joining soft gov params special today!,Jan-11-2022,🙏｜praise
bends#3537,liviade#1387,for joining soft gov params special today!,Jan-11-2022,🙏｜praise
Juankbell#7458,liviade#1387,for joining soft gov params special today!,Jan-11-2022,🙏｜praise
Nuggan#5183,liviade#1387,for joining soft gov params special today!,Jan-11-2022,🙏｜praise
chuygarcia.eth#6692,liviade#1387,for joining soft gov params special today!,Jan-11-2022,🙏｜praise
ALOYSIOUS#3049,liviade#1387,for joining soft gov params special today!,Jan-11-2022,🙏｜praise
karmaticacid#1218,liviade#1387,for joining soft gov params special today!,Jan-11-2022,🙏｜praise
QUANTUM369#7131,liviade#1387,for joining soft gov params special today!,Jan-11-2022,🙏｜praise
nic#9212,liviade#1387,for joining soft gov params special today!,Jan-11-2022,🙏｜praise
Tam2140#9361,liviade#1387,for joining soft gov params special today!,Jan-11-2022,🙏｜praise
Mert Ozd#6679,Mount Manu#3530,for jumping into the role of becoming TEC's liaison with PrimeDAO,Jan-11-2022,🙏｜praise
Juankbell#7458,bends#3537,for the great rundown on everything Gravity WG  is doing and has planned,Jan-11-2022,🙏｜praise
Zeptimus#3359,ZER8🧠#9093,some for their incredible work with the Comms  and the others for their curiosity about the new T.E.A.M. DAO,Jan-11-2022,🙏｜praise
MarioRozo#3294,ZER8🧠#9093,some for their incredible work with the Comms  and the others for their curiosity about the new T.E.A.M. DAO,Jan-11-2022,🙏｜praise
natesuits#4789,ZER8🧠#9093,some for their incredible work with the Comms  and the others for their curiosity about the new T.E.A.M. DAO,Jan-11-2022,🙏｜praise
ZER8🧠#9093,ZER8🧠#9093,some for their incredible work with the Comms  and the others for their curiosity about the new T.E.A.M. DAO,Jan-11-2022,🙏｜praise
johnjonas#2307,ZER8🧠#9093,some for their incredible work with the Comms  and the others for their curiosity about the new T.E.A.M. DAO,Jan-11-2022,🙏｜praise
Mount Manu#3530,ZER8🧠#9093,some for their incredible work with the Comms  and the others for their curiosity about the new T.E.A.M. DAO,Jan-11-2022,🙏｜praise
bustavo#8085,ZER8🧠#9093,some for their incredible work with the Comms  and the others for their curiosity about the new T.E.A.M. DAO,Jan-11-2022,🙏｜praise
Juankbell#7458,ZER8🧠#9093,some for their incredible work with the Comms  and the others for their curiosity about the new T.E.A.M. DAO,Jan-11-2022,🙏｜praise
chuygarcia.eth#6692,ZER8🧠#9093,some for their incredible work with the Comms  and the others for their curiosity about the new T.E.A.M. DAO,Jan-11-2022,🙏｜praise
Doggfather#9126,ZER8🧠#9093,some for their incredible work with the Comms  and the others for their curiosity about the new T.E.A.M. DAO,Jan-11-2022,🙏｜praise
acidlazzer#5796,ZER8🧠#9093,some for their incredible work with the Comms  and the others for their curiosity about the new T.E.A.M. DAO,Jan-11-2022,🙏｜praise
QUANTUM369#7131,ZER8🧠#9093,some for their incredible work with the Comms  and the others for their curiosity about the new T.E.A.M. DAO,Jan-11-2022,🙏｜praise
AnnAnna#4694,ZER8🧠#9093,some for their incredible work with the Comms  and the others for their curiosity about the new T.E.A.M. DAO,Jan-11-2022,🙏｜praise
Tam2140#9361,ZER8🧠#9093,some for their incredible work with the Comms  and the others for their curiosity about the new T.E.A.M. DAO,Jan-11-2022,🙏｜praise
liviade#1387,Mount Manu#3530,"for all her hard work getting our community going, always being ahead of schedule, and for all her contributions to the Governauts project as well",Jan-11-2022,🙏｜praise
Tam2140#9361,Mount Manu#3530,for incredible leadership and for taking ownership when Griff is busy with Giveth,Jan-11-2022,🙏｜praise
divine_comedian#5493,Mount Manu#3530,for all the work they’ve put into the Rewards System initiative because not just the TEC but a dozen other DAOs will be benefitted by this,Jan-11-2022,🙏｜praise
rdfbbx#6437,Mount Manu#3530,for all the work they’ve put into the Rewards System initiative because not just the TEC but a dozen other DAOs will be benefitted by this,Jan-11-2022,🙏｜praise
liviade#1387,Mount Manu#3530,for all the work they’ve put into the Rewards System initiative because not just the TEC but a dozen other DAOs will be benefitted by this,Jan-11-2022,🙏｜praise
kristofer#1475,Mount Manu#3530,for all the work they’ve put into the Rewards System initiative because not just the TEC but a dozen other DAOs will be benefitted by this,Jan-11-2022,🙏｜praise
Vyvy-vi#5040,Mount Manu#3530,for all the work they’ve put into the Rewards System initiative because not just the TEC but a dozen other DAOs will be benefitted by this,Jan-11-2022,🙏｜praise
Nuggan#5183,Mount Manu#3530,for all the work they’ve put into the Rewards System initiative because not just the TEC but a dozen other DAOs will be benefitted by this,Jan-11-2022,🙏｜praise
MS#4235,Mount Manu#3530,for all the work they’ve put into the Rewards System initiative because not just the TEC but a dozen other DAOs will be benefitted by this,Jan-11-2022,🙏｜praise
Vyvy-vi#5040,Mount Manu#3530,for the incredible work getting our Discord onboarding experience upgraded and in god mode,Jan-11-2022,🙏｜praise
Juankbell#7458,Mount Manu#3530,for introducing conflict management and transformation into the headspace of the DAO ecosystem,Jan-11-2022,🙏｜praise
natesuits#4789,Mount Manu#3530,for all the tireless work that he does behind the scenes,Jan-11-2022,🙏｜praise
Vyvy-vi#5040,kristofer#1475,for hacking away at the discord meeting tracker bot for sourcecred!,Jan-11-2022,🙏｜praise
Mount Manu#3530,Mount Manu#3530,for taking the time to transcribe and dish all the praise from the community calls,Jan-11-2022,🙏｜praise
Juankbell#7458,Mount Manu#3530,for helping Bianca introduce a psychology dimension into the TEC,Jan-11-2022,🙏｜praise
"griff (💜, 💜)#8888",Mount Manu#3530,"for being involved in Giveth, which is an awesome project",Jan-11-2022,🙏｜praise
mateodaza#3156,Mount Manu#3530,"for being involved in Giveth, which is an awesome project",Jan-11-2022,🙏｜praise
karmaticacid#1218,Mount Manu#3530,"for being involved in Giveth, which is an awesome project",Jan-11-2022,🙏｜praise
Nebs#2035,kristofer#1475,for taking on the massive undertaking of rewriting the Praise backend from scratch.,Jan-11-2022,🙏｜praise
ZER8🧠#9093,Mount Manu#3530,for your contributions in Comms,Jan-11-2022,🙏｜praise
Mount Manu#3530,Mount Manu#3530,for your contributions in Comms,Jan-11-2022,🙏｜praise
chuygarcia.eth#6692,Mount Manu#3530,for your contributions in Comms,Jan-11-2022,🙏｜praise
Juankbell#7458,Mount Manu#3530,for your contributions in Comms,Jan-11-2022,🙏｜praise
Zeptimus#3359,Mount Manu#3530,for always being everywhere and giving great feedback and opinions,Jan-11-2022,🙏｜praise
natesuits#4789,Mount Manu#3530,for always being everywhere and giving great feedback and opinions,Jan-11-2022,🙏｜praise
Tam2140#9361,Mount Manu#3530,for always being everywhere and giving great feedback and opinions,Jan-11-2022,🙏｜praise
Zeptimus#3359,Mount Manu#3530,for the recent voter pamphlet working session,Jan-11-2022,🙏｜praise
divine_comedian#5493,Mount Manu#3530,for the recent voter pamphlet working session,Jan-11-2022,🙏｜praise
"griff (💜, 💜)#8888",Mount Manu#3530,for the recent voter pamphlet working session,Jan-11-2022,🙏｜praise
bends#3537,Mount Manu#3530,for the recent voter pamphlet working session,Jan-11-2022,🙏｜praise
Juankbell#7458,Mount Manu#3530,for the recent voter pamphlet working session,Jan-11-2022,🙏｜praise
chuygarcia.eth#6692,Mount Manu#3530,for the recent voter pamphlet working session,Jan-11-2022,🙏｜praise
karmaticacid#1218,Mount Manu#3530,for the recent voter pamphlet working session,Jan-11-2022,🙏｜praise
Tam2140#9361,Mount Manu#3530,for the recent voter pamphlet working session,Jan-11-2022,🙏｜praise
Mert Ozd#6679,Mount Manu#3530,for spearheading the creation of the TE Consilience Library Notion website and for becoming a critical part of 0mega in such a short span of time,Jan-11-2022,🙏｜praise
Zeptimus#3359,Mount Manu#3530,"for welcoming acidlazzer into the TEC with open arms, way back when he first joined the community",Jan-11-2022,🙏｜praise
natesuits#4789,Mount Manu#3530,"for welcoming acidlazzer into the TEC with open arms, way back when he first joined the community",Jan-11-2022,🙏｜praise
Juankbell#7458,Mount Manu#3530,"for welcoming acidlazzer into the TEC with open arms, way back when he first joined the community",Jan-11-2022,🙏｜praise
chuygarcia.eth#6692,Mount Manu#3530,"for welcoming acidlazzer into the TEC with open arms, way back when he first joined the community",Jan-11-2022,🙏｜praise
iviangita#3204,Mount Manu#3530,"for welcoming acidlazzer into the TEC with open arms, way back when he first joined the community",Jan-11-2022,🙏｜praise
divine_comedian#5493,Mount Manu#3530,"for leading the Giveconomy launch, which was a success",Jan-11-2022,🙏｜praise
"griff (💜, 💜)#8888",Mount Manu#3530,"for leading the Giveconomy launch, which was a success",Jan-11-2022,🙏｜praise
karmaticacid#1218,Mount Manu#3530,"for leading the Giveconomy launch, which was a success",Jan-11-2022,🙏｜praise
mateodaza#3156,Mount Manu#3530,"for leading the Giveconomy launch, which was a success",Jan-11-2022,🙏｜praise
durgadas#9280,Mount Manu#3530,for contributing to our Comms / T.E.A.M. WG,Jan-11-2022,🙏｜praise
casale.eth#6107,Mount Manu#3530,for contributing to our Comms / T.E.A.M. WG,Jan-11-2022,🙏｜praise
natesuits#4789,Mount Manu#3530,for contributing to our Comms / T.E.A.M. WG,Jan-11-2022,🙏｜praise
ZER8🧠#9093,Mount Manu#3530,for contributing to our Comms / T.E.A.M. WG,Jan-11-2022,🙏｜praise
johnjonas#2307,Mount Manu#3530,for contributing to our Comms / T.E.A.M. WG,Jan-11-2022,🙏｜praise
angieberryberry#9822,Mount Manu#3530,for contributing to our Comms / T.E.A.M. WG,Jan-11-2022,🙏｜praise
